name,display_name,chapter(int),source code (y/n),gif images (y/n),supplmental materials (y/n),Original Filename,Source,License/Copyright,OpenStax Section 1,OpenStax Section 2,Brief Description,Long Description,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Pedagogical Quality,Graphics Quality,Comments
binary_stars_eclipse.gif,Binary Stars Eclipse Light Curve,18,n,n,n,Algol-type_variable_binary_star_animation_4.gif,https://commons.wikimedia.org/wiki/File:Algol-type_variable_binary_star_animation_4.gif,Share Alike 4.0 International license,18.3,18.2,Eclipsing binary light curve,Light curve of an algol-type binary system/eclipsing binary system with view of the stars,Binary stars,Light curve,Eclipse,,,8,7,"By Merikanto - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=79059375"
BlackHole_Lensing.gif,Black-hole Lensing,24,n,n,n,BlackHole_Lensing.gif,https://commons.wikimedia.org/wiki/File:BlackHole_Lensing.gif,Share Alike 3.0 Unported license/GNU Free Documentation License,24.3,24.5,Gravitational lensing simulation,Simulation of the gravitational lensing of a galaxy from a black hole,Black hole,Gravitational lensing,Relativity,Gravity,,7,9,"By No machine-readable author provided. Alain r assumed (based on copyright claims). - No machine-readable source provided. Own work assumed (based on copyright claims)., CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=496020"
Wiki_Spect_Binaries_v2.gif,Binary System Doppler-shift,18,n,n,n,Wiki_Spect_Binaries_v2.gif,https://commons.wikimedia.org/wiki/File:Wiki_Spect_Binaries_v2.gif,Attribution 3.0 Unported license/GNU Free Documentation license,18.3,18.2,Spectroscopic binary spectra,Doppler shifted spectra of a spectroscopic binary system at different points in their orbit,Binary stars,Doppler shift,Spectrum,,,8,10,"By Primefac - Own work, CC BY 3.0, https://commons.wikimedia.org/w/index.php?curid=30045878"
Light_dispersion_conceptual_waves.gif,Light Prism Refraction,5,n,n,n,Light_dispersion_conceptual_waves.gif,https://commons.wikimedia.org/wiki/File:Light_dispersion_conceptual_waves.gif,Public domain,5.3,6.3,Light refracted in prism,"White light separated by prism into different wavelengths, each of which have different indices of refraction",Light,Spectrum,Refraction,Optics,,8,9,
Interstellar_comet_orbits.gif,Interstellar Comet Orbits,3,n,n,n,A_comparison_of_two_interstellar_objects_passing_through_our_solar_system.gif,https://commons.wikimedia.org/wiki/File:A_comparison_of_two_interstellar_objects_passing_through_our_solar_system.gif,Share Alike 4.0 International license,3.1,3.4,Interstellar object hyperbolic orbits,Orbits of Borisov and Oumuamua passing through the solar system,Orbit,Gravity,Comet,Kepler's laws,,6,7,"By Tony873004 - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=82114872"
Cepheid_animation_1.gif,Cepheid Star Expansion/Contraction Colorshift,19,n,n,n,Cepheid_animation_1.gif,https://commons.wikimedia.org/wiki/File:Cepheid_animation_1.gif,Share Alike 4.0 International license,19.3,26.1,Cepheid variable pulsation,"Expansion, contraction, and color change of a cepheid variable star",Star,Cepheid variable,Distance,Variable star,,7,8,"By Merikanto - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=79818338"
Nogreenstars.gif,Stars Perceived Color,5,n,n,n,Nogreenstars.gif,https://commons.wikimedia.org/wiki/File:Nogreenstars.gif,Public domain,5.2,18.4,Blackbody perceived color,Visible blackbody spectrum with the perceived color of a star at that tempertature,Blackbody,Color,Temperature,Star,Spectrum,8,8,
Convection.gif,Convection Currents,16,n,n,n,Convection.gif,https://commons.wikimedia.org/wiki/File:Convection.gif,Share Alike 3.0 Unported license/GNU Free Documentation License,16.3,8.2,Convection currents,Heating and cooling in convection currents above a heat source,Convection,Heat,Temperature,Atmosphere,,6,8,"By User:Oni Lukos - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=1479796"
Impact_crater.gif,Impact Crater,9,n,n,n,Ries_Impact_de.gif,https://commons.wikimedia.org/wiki/File:Ries_Impact_de.gif,Share Alike 3.0 Unported license/GNU Free Documentation License,9.3,,Formation of impact crater,Stages of formation of an impact crater,Crater,Impact,,,,8,7,"Not in English, By User:Vesta created the original illustrations; the husband of Anke Bebber connected them into the gif-file according to her blog post - the animation by putting the preexisting images into a gif file is ineligible for copyright, so the original copyrights of the illustrations are the only ones to be considered - http://www.scienceblogs.de/geo_logisch/2011/11/07/Ries_Impact_de_klein.gif, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=17286298"
Meteor_atmosphere.gif,Meteor in Atmosphere,14,n,n,n,Meteoroid_-_Meteor(Bolide)_-_Meteorite.gif,https://commons.wikimedia.org/wiki/File:Meteoroid_-_Meteor_(Bolide)_-_Meteorite.gif,Public domain,14.1,7.1,Meteor in atmosphere,Meteor entering atmosphere and burning up,Meteor,Atmosphere,Meteorite,,,8,7,Not in English
Bohr_atom_animation_2.gif,Bohr Atom Photon Absorption/Emission,5,n,n,n,Bohr_atom_animation_2.gif,https://commons.wikimedia.org/wiki/File:Bohr_atom_animation_2.gif,Share Alike 3.0 Unported license/GNU Free Documentation License,5.5,,Bohr atom photon,Photon emission and absorption by an electron in a Bohr atom,Atom,Spectrum,Photon,Light,,7,7,"By Kurzon - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=32188518"
New moon-Full moon.gif,Moon Phases: New Moon-Full Moon,4,n,n,n,New moon-Full moon.gif,https://astro.unl.edu/classaction/animations/lunarcycles/lunarapplet.html,Astronomy Education at the university of Nebraska,4.5,,Moon Phase,This GIF shows the moon phase from new moon to full moon with their lumonisty and the names of phases in between,Moon,New-Full,,,,,,
Full moon- New moon.gif,Moon Phases: Full Moon- New Moon,4,n,n,n,Full moon- New moon.gif,https://astro.unl.edu/classaction/animations/lunarcycles/lunarapplet.html,Astronomy Education at the university of Nebraska,4.5,,Monn phase,This GIF shows the moon phase from full moon to new moon with their lumonisty and the names of phases in between,Moon,Full-New,,,,,,
"Semi-major axis, eccentricity.gif",Semi-Major Axis and Eccentricity,3,n,n,n,"Semi-major axis, eccentricity.gif",https://astro.unl.edu/classaction/animations/renaissance/ellipsedemo.html,Astronomy Education at the university of Nebraska,3.1,,Eccenticity,This GIF show show the semi major axis affect the eccentricity,planets,semi major axis,,,,,,
"Distance, eccentricity, gif",Distance and Eccentricity ,3,n,n,n,"Distance, eccentiricty gif",https://astro.unl.edu/classaction/animations/renaissance/ellipsedemo.html,Astronomy Education at the university of Nebraska,3.1,,Eccentircity,This GIF shows how the distance affect the eccentiricty,planets,semi major axis,,,,,,
Ecliptic gif,Sun Declination and Right Ascension in a Year,2,n,n,n,Ecliptic gif,https://astro.unl.edu/classaction/animations/coordsmotion/seasonsim.html,Astronomy Education at the university of Nebraska,2.1,,Ecliptic,Show's how the sun's declination and right ascension change over the course of a year,sun,ecliptic,,,,,,
Earth's tilt gif,Earth's Tilt Angle Change,2,n,n,n,Earth's tilt gif,https://astro.unl.edu/classaction/animations/coordsmotion/seasonsim.html,Astronomy Education at the university of Nebraska,2.1,,Tilt,How Earth's tilt is defined,Earth,tilt,Sun,,,,,
Earth orbit and seasons,Earth's Orbit and Seasons,4,n,n,n,Earth's orbit and seasons,https://astro.unl.edu/naap/motion1/animations/seasons_ecliptic.html,Astronomy Education at the university of Nebraska,4.2,,Earth's orbit and seasons,Shows the relation between the earth's orbit around the sun correlates to different seasons,Earth,tilt,Sun,,,,,
Seasons: Sunlight angle at the equator.gif,Seasons: Sunlight Angle at Equator,4,n,n,n,Seasons: Sunlight angle at the equator.gif,https://astro.unl.edu/naap/motion1/animations/seasons_ecliptic.html,Astronomy Education at the university of Nebraska,4.2,,Seasons,How the angle of sunlight chnages with Earth's rotation and the observer latitude at the equator and how it affects seasons,Earth,tilt,Sun,,,,,
Seasons sunlight angle at the North pole.gif,Seasons: Sunlight Angle at North Pole,4,n,n,n,Seasons sunlight angle at the North pole.gif,https://astro.unl.edu/naap/motion1/animations/seasons_ecliptic.html,Astronomy Education at the university of Nebraska,4.2,,Seasons,How the angle of sunlight chnages with Earth's rotatuin and the observer latitude at the north pole and how it affects seasons,Earth,tilt,Sun,,,,,
Season sunlight angle at the South pole.gif,Seasons: Sunlight Angle at South Pole,4,n,n,n,Season sunlight angle at the South pole.gif,https://astro.unl.edu/naap/motion1/animations/seasons_ecliptic.html,Astronomy Education at the university of Nebraska,4.2,,Seasons,How the angle of sunlight changes with Earth's rotation and the observer latitude at the south pole and how it affects seasons,Earth,tilt,Sun,,,,,"Simulation from PhET Interactive Simulations, University of Colorado Boulder. Licensed under CC BY 4.0"
Kepler's first law,"Kepler's First Law, Velocity",3,n,n,n,Kepler's first law.gif,https://phet.colorado.edu/en/simulations/keplers-laws,"Simulation from PhET Interactive Simulations, University of Colorado Boulder. Licensed under CC BY 4.0",3.1,,Planets,A simulation of Kepler's first law,planets,speed,model,,,,,"Simulation from PhET Interactive Simulations, University of Colorado Boulder. Licensed under CC BY 4.0"
Kepler's second law,"Kepler's Second Law, Simulation",3,n,n,n,Kepler's second law.gif,https://phet.colorado.edu/en/simulations/keplers-laws,"Simulation from PhET Interactive Simulations, University of Colorado Boulder. Licensed under CC BY 4.0",3.1,,Planets,A simulation of Kepler's second law,planets,speed,model,,,,,"Simulation from PhET Interactive Simulations, University of Colorado Boulder. Licensed under CC BY 4.0"
Kepler's second law aread,"Kepler's Second Law, Graph",3,n,n,n,"Kepler's 2nd law, swept areas graph.gif",https://phet.colorado.edu/en/simulations/keplers-laws,"Simulation from PhET Interactive Simulations, University of Colorado Boulder. Licensed under CC BY 4.0",3.1,,Planets,A graph of kepler's second law,planets,speed,graph,,,,,
Eclipsing Binary Simulator.gif,"Binary Eclipse, Simulation",18,n,n,n,Eclipsing Binary Simulator.gif,https://astro.unl.edu/naap/ebs/animations/ebs.html,Astronomy Education at the university of Nebraska,18.3,,Stars,Models the motion of two stars that orbit each other,star,eclipsie,model,,,,,
Eclipsing binary simulator graph.gif,"Binary Ecplise, Graph",18,n,n,n,Eclipsing binary simulator graph.gif,https://astro.unl.edu/naap/ebs/animations/ebs.html,Astronomy Education at the university of Nebraska,18.3,,Stars,The graph produces by the eclipsing motion of two stars,star,eclipsie,graph,,,,,
Pluto and its moons.gif,Pluto and its Moons Orbit,4,n,n,n,Pluto and its moons.gif,https://eyes.nasa.gov/apps/solar-system/#/home,Public domain (NASA),4.6,,Pluto,Pluto's orbit and its moon's orbits,Pluto,orbit,moons,,,,,
Big bang.gif,Big Bang Simulation,26,n,n,n,Big bang.gif,https://svs.gsfc.nasa.gov/12656/,Public domain (NASA),26.5,,Universe begining,A simulation of what the big bang looked like,Universe,big bang,,,,,,From NASA SVS
Black hole.gif,Black Hole Simulation,23,n,n,n,Black hole.gif,https://svs.gsfc.nasa.gov/14619/,Public domain (NASA),23,,Black hole,A simulation of a black hole and the accretion disk,Black hole,star,death,,,,,From NASA SVS
Earth's atmosphere layers.gif,Earth's Atmosphere Layers,2,n,n,n,Earth's atmosphere layers.gif,https://svs.gsfc.nasa.gov/20405/,Public domain (NASA),2.1,,Earth's atmosphere,The five atmosphereic layers of earth,Earth,atmosphere,,,,,,
Short gamma ray burst formation-BH+Neutron star.gif,Gamma Burst: Black hole and Neutron Star,23,n,n,n,Short gamma ray burst formation-BH+Neutron star.gif,https://svs.gsfc.nasa.gov/14738/,Public domain (NASA),23.6,,Gamma ray burst,This GIF illustrates how short gamma ray bursts are formed by the mergeing of a black hole and a neutron star,Gamma ray,,,,,,,
Exoplanet_Single_Transit.gif,Exoplanet Transit Light Curve: Single,14,n,n,n,Exoplanet_Single_Transit,https://svs.gsfc.nasa.gov/13022/,Public domain (NASA),14.4,,Exoplanet discovery,This GIF shows single planet orbiting a star and the corresponding light curve which helps us find Exoplanets,Exoplanet,Transit,,,,,,
Exoplanet_Double_Transit.gif,2 Exoplanets Transit Light Curve: Big and Small,14,n,n,n,Exoplanet_Double_Transit.gif,https://svs.gsfc.nasa.gov/13022/,Public domain (NASA),14.4,,Exoplanet discovery,This GIF shows the difference between the transit graph of a big planet and a small one orbiting a star ,Exoplanet,Transit,,,,,,
Exoplanet_Multipe_Transit.gif,Multiple Exoplanets Transit Light Curve,14,n,n,n,Exoplanet_Multipe_Transit.gif,https://svs.gsfc.nasa.gov/13022/,Public domain (NASA),14.4,,Exoplanet discovery,This GIF show a system of 3 planets orbiting a star and the resulted transit graph,Exoplanet,Transit,,,,,,
Long gamma ray burst formation.gif,Long Gamma Ray Burst Formation,23,n,n,n,Long gamma ray burst formation.gif,https://svs.gsfc.nasa.gov/14738/,Public domain (NASA),23.6,,Gamma ray burst,This GIF shows how long gamma ray bursts are formed,Gamma ray,,,,,,,
Neutron star gamma ray burst.gif,Gamma Ray Burst: Neutron Star,23,n,n,n,Neutron star gamma ray burst.gif,https://svs.gsfc.nasa.gov/14738/,Public domain (NASA),23.6,,Gamma ray burst,This GIF shows the gamma rays produced by a neutron star,Gamma ray,,,,,,,
Short gamma ray burst formation-two neutron stars.gif,Gamma Ray Burst: Two Neutron Stars,23,n,n,n,Short gamma ray burst formation-two neutron stars.gif,https://svs.gsfc.nasa.gov/14738/,Public domain (NASA),23.6,,Gamma ray burst,This GIF shows the collision of two neutron stars and the gamma ray burst ,Gamma ray,,,,,,,
Andromeda galaxy and the Milk way collision.gif,Andromeda and Milky Way Collision,25,n,n,n,Andromeda galaxy and the Milk way collision.gif,https://svs.gsfc.nasa.gov/14847/,Public domain (NASA),25.6,,Andromeda Galaxy collison,This GIF shows the collisionhat will happen between the andromeda galaxy and the Milky way,galaxy,galaxy merger,,,,,,
T crB (white dwarf and a ref giant system).gif,White Dwarf and Red Giant,23,n,n,n,T crB (white dwarf and a ref giant system).gif,https://svs.gsfc.nasa.gov/20393/,Public domain (NASA),23.3,,White dwarf+Red giant system,This GIF shows a binary system of a white dearf and a red giant( T corona Borealis) 3000 light years away. It's a recurrent nova system,white dwarf,Red giant,Supernova Ia,,,,,Credits for NASA's Goddard Space Flight Center Conceptual Image Lab
Sun's magnetic field.gif,Sun's Magnetic Field,15,n,n,n,Sun's magnetic field.gif,https://svs.gsfc.nasa.gov/5543/,Public domain (NASA),15.2,,Sun's magnetic field,This GIF shows The Solar magnetic field view from a fixed solar longitude with field lines using the conventional color scheme of green representing the positive (North) field and magenta as the negative (South) field. White field lines connect back to the solar photosphere.,Sun,Magnetic field,,,,,,"Credit fo Credits Data visualizer Tom Bridgman (Global Science and Technology, Inc.) Producer Joy Ng (eMITS) Technical support Laurence Schuler (ADNET Systems, Inc.) Ian Jones (ADNET Systems, Inc.)"
Triple Eclipsing system.gif,Triple Eclipsing System Light Curve,19,n,n,n,Triple Eclipsing system.gif,https://svs.gsfc.nasa.gov/14677/,Public domain (NASA),19.2,,Triple star system,"This GIF shows the system called TIC 290061484 eclipse each other over about 75 days. The line at the bottom is the plot of the system's brightness over time, as seen by TESS",Stras,System,Triple,,,,,Credits for NASA's Goddard Space Flight Center.
Binary star system light curve.gif,Binary Star Systems Orbit and Light Curve,14,n,n,n,Binary star system light curve.gif,https://svs.gsfc.nasa.gov/5290/,Public domain (NASA),14.4,,Binary system,"This data visualization presents a comprehensive view of four different hypothetical binary star systems, highlighting their stellar orbits and light curves.",Star,System,Binary,Light curve,,,,Credits for NASA's Scientific Visualization Studio
Quadruple system of stars light curve.gif,Quadruple Star System Orbit and Light Curve,18,n,n,n,Quadruple system of stars light curve.gif,https://svs.gsfc.nasa.gov/5290/,Public domain (NASA),18.2,,Quadruple system,"his data visualization follows the same format as the binary star system visualization above, but it features a hypothetical quadruple star system",Star,System,Quadruple,Light curve,,,,Credit for NASA's Scientific Visualization Studio 
Sextuple star system.gif,Sextuple Star System Orbit,18,n,n,n,Sextuple star system.gif,https://svs.gsfc.nasa.gov/5290/,Public domain (NASA),18.2,,Sextuple system,"This is a A top-down view of TIC 168789840, a sextuple eclipsing star system",Star,System,Sextuple,,,,,Credit for NASA's Scientific Visualization Studio 
V906 Carinae's 2018 nova eruption.gif,Supernova Eruption: V906 Carinae 2018,20,n,n,n,V906 Carinae's 2018 nova eruption.gif,https://svs.gsfc.nasa.gov/13578/,Public domain (NASA),20.4,,Supernova eruption,"This animation illustrates the likely phases of V906 Carinae's 2018 nova eruption. The explosion created a thick, complex cloud that was swept into a doughnut shape by the orbital motion of the stars.",Nova,,,,,,,Credit for NASA's Goddard Space Flight Center/Chris Smith (USRA)
Solar Storm Excites Martian Magnetosphere for Fulldome.gif,Mars Solar Storm Magnetosphere,15,n,n,n,Solar storm mars.gif,https://svs.gsfc.nasa.gov/5514/,Public domain (NASA),15.4,,Solar storm,"On September 13, 2017, a solar coronal mass ejection hit Mars, and the visualization shows how solar-wind currents and magnetic fields interact with Mars’ weak, uneven crustal fields to create a complex “hybrid” magnetosphere.",Sun,Mars,Magnotsphere,storm,,,,NASA's Scientific Visualization Studio
Carruthers Geocorona Animation.gif,"Earth's Geocorona, Carruthers",8,n,n,n,Carruthers Geocorona Animation.gif,https://svs.gsfc.nasa.gov/20407/,Public domain (NASA),8.3,,Carruthers Geocorona,"The “Carruthers Geocorona Animation” shows Earth’s outer hydrogen layer, the geocorona, scattering ultraviolet sunlight.",Earth,Exosphere,Sun,,,,,NASA's Goddard Space Flight Center Conceptual Image Lab
Carrington Class Coronal Mass Ejection.gif,The Carrington Event Mass Ejection,15,n,n,n,Carrington Class Coronal Mass Ejection.gif,https://svs.gsfc.nasa.gov/5375/,Public domain (NASA),15.2,,Coronal Mass Ejections,"This visulaization shows the The Carrington Event was the strongest recorded geomagnetic storm in history, caused by an unusually strong solar flare",Coronal mass ejection,Sun,Storm,,,,,Credits Visualizers Anansa B. Keaton-Ashanti (NASA/GSFC) ORCID logo. It consists of the text 'id' in lowercase inside of a green circle. AJ Christensen (AVL NCSA/University of Illinois) Scientist M. Leila Mays (NASA/GSFC)
Weather on Exoplanet WASP-121b.gif,Weather on Exoplanet Tylos,14,n,n,n,Weather on Exoplanet WASP-121b.gif,https://svs.gsfc.nasa.gov/31272/,Public domain (NASA),14.4,,Weather on Exoplanet ,"This visualization shows the temperature forecast spanning 130 exoplanet-days, across sunrise, noon, sunset and midnight for the exoplanet WASP-121",Exoplanet,Weather,,,,,,"Visualization: NASA, ESA, Quentin Changeat (ESA/STScI), Mahdi Zamani (ESA/Hubble)"
Seasonal Variations in Titan.gif,Seasonal Variations in Titan,7,n,n,n,Seasonal Variations in Titan.gif,https://svs.gsfc.nasa.gov/5530/,Public domain (NASA),7.2,,zonal winds on Titan,This data visualization shows the high-altitude zonal winds on Titan moving from west to east. These winds behave similarly to the global jet streams on Earth.,Moon,Planet,Winds,,,,,Scientific Visualization Studio
Webb Captures Jupiter’s Aurora.gif,Jupiter's Aurora,11,n,n,n,Webb Captures Jupiter’s Aurora.gif,https://svs.gsfc.nasa.gov/14839/,Public domain (NASA),11.1,, auroras on jupiter,"NASA’s James Webb Space Telescope captured intense auroras on Jupiter in infrared, revealing unexpected atmospheric activity that challenges current understanding of the planet’s magnetic field and particle interactions.",Jupiter ,Atmosphere,Aurora,,,,,"NASA's Goddard Space Flight Center Credit: Producer: Paul Morris Writer: Thaddeus Cesari Narrator: Professor Jonathan Nichols Images: NASA, ESA, CSA, STSci Music Credit: ""Zero Gravity"" by Brice Davoli [SACEM] via Koka Media [SACEM], Universal Production Music France [SACEM], and Universal Production Music"
Total Lunar Eclipse Shadow View,Total Lunar Eclipse Shadow View,4,n,n,n,Total Lunar Eclipse Shadow View,https://svs.gsfc.nasa.gov/5471/,Public domain (NASA),4.5,,Lunar eclipse ,"his animation shows the changing appearance of the Moon as it travels into and out of the Earth's shadow, along with times at various stages",Moon,Lunar eclipse,,,,,,NASA's Scientific Visualization Studio
Sun's Heliosphere.gif,Sun's Heliosphere,15,n,n,n,Sun's Heliosphere.gif,https://svs.gsfc.nasa.gov/20363/,Public domain (NASA),15,,Heliosphere,A conceptual animation showing the heliosphere — the vast bubble that is generated by the Sun’s magnetic field and envelops all the planets.,Sun,Planets,Heliosphere,,,,,NASA's Goddard Space Flight Center Conceptual Image Lab
Local Hot Bubble.gif,Local Hot Bubble,20,n,n,n,Local Hot Bubble.gif,https://svs.gsfc.nasa.gov/11550/,Public domain (NASA),20.6,,Local Hot Bubble,"This animation illustrates solar wind charge exchange in action. An atom of interstellar helium (blue) collides with a solar wind ion (red), losing one of its electrons (yellow) to the other particle. As it settles into a lower-energy state, the electron emits a soft X-ray.",Sun,ISM,X-Ray,,,,,"ASA's Goddard Space Flight Center. However, individual items should be credited as indicated above. Animator Scott Wiessinger (USRA) Producer Scott Wiessinger (USRA) Science writer Francis Reddy (University of Maryland College Park) Graphics Francis Reddy (University of Maryland College Park)"
Eclipses from Fast X-ray Pulsar.gif,Eclipse of Fast X-ray Pulsar and Star,23,n,n,n,Eclipses from Fast X-ray Pulsar.gif,https://svs.gsfc.nasa.gov/10625/,Public domain (NASA),23.4,,X-ray Pulsay and it's companion ,"This animation depicts a unique binary star system that consists of an X-ray pulsar and its companion star. the system is called J1749. In addition, the pulsar’s orbital motion imparts small but regular changes in the frequency of the X-ray pulses. These changes indicate that the stars revolve around each other every 8.8 hours.",Pulsar,Binary system,,,,,,NASA/Goddard Space Flight Center
BHW_Gravitational_Waves_3D_Visualization.gif,Black Holes Orbit: 3D Gravitational Waves,24,n,n,n,BHW_Gravitational_Waves_3D_Visualization.gif,https://svs.gsfc.nasa.gov/14130/,Public domain (NASA),24.7,,Gravitational Waves From Monster Black Holes,"This visualization shows gravitational waves emitted by two black holes of nearly equal mass as they spiral around each other. Orange ripples represent distortions of space-time caused by the rapidly orbiting masses. These distortions spread out and weaken, ultimately becoming gravitational waves (purple)",Black holes,Binary system,Gravitational waves,,,,,"NASA's Goddard Space Flight Center Science writer Jeanette Kazmierczak (University of Maryland College Park) Producer Scott Wiessinger (KBR Wyle Services, LLC) Graphic designer Krystofer Kim (KBR Wyle Services, LLC)"
Gravitational Waves.gif,Black Holes Orbit: Simple Gravitational Waves,24,n,n,n,Gravitational Waves.gif,https://svs.gsfc.nasa.gov/20367/,Public domain (NASA),24.7,,Black hole merger ,"Two black holes orbit around each other and generate space-time ripples called gravitational waves in this animation. As the black holes get closer, the waves increase in frequency. Eventually, the event horizons merge into a peanut-shaped object, generating one very high-frequency wave",Black holes,Space time,Gravittional waves,Black hole merger,,,,ASA's Goddard Space Flight Center Conceptual Image Lab
Orbit Views of our Solar System.gif,Orbit Views of Our Solar System,3,n,n,n,Orbit Views of our Solar System.gif,NASA SVS | Orbit Views of our Solar System,Public domain (NASA),3.1,,Planetry orbits,A visualization of the inner solar system planet orbits,Planet,orbit,,,,,,NASA's Scientific Visualization Studio
MAVEN spacecraft orbit.gif,MAVEN Spacecraft: Tighter Orbit,10,n,n,n,MAVEN spacecraft orbit.gif,NASA SVS | MAVEN: Science Orbit,Public domain (NASA),10.4,,MAVEN space craft,MAVEN's orbit transitions from the insertion orbit to a tighter science orbit,Mars,Spaecraft,,,,,,NASA's Scientific Visualization Studio
Jupiter's Moon Orbits.gif,Jupiter's Moon Orbits,7,n,n,n,Jupiter's Moon Orbits.gif,NASA SVS | Pull out from Jupiter Showing Moon Orbits,Public domain (NASA),7.2,,Jupiter's moons overview,"This visualization shows jupiter and 63 of its moons. We start close in to Jupiter showing relativly fast moving inner moons that are generally in the same orbital plane including the so called 'Galilean moons': Europa, Io, Ganymede, and Callisto. Other inner moons are: Amalthea, Thebe, Adrastea, and Metis",Jupiter ,Moon,Orbits,,,,,NASA/Goddard Space Flight Center Scientific Visualization Studio
